Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
Total,0,0,0,85,80,1.3332,2,0,0,98,108,1.7776,0,0,0,0,0,0,99,114,1.7776,0,0,0,58,60,1.2221,5,0,0,74,73,1.111,20,0,0,0,0,0,4,6,0
HAMPTON 4,0,0,0,10,12,0.2222,0,0,0,8,8,0.1111,0,0,0,0,0,0,2,0,0,0,0,0,12,12,0.1667,0,0,0,6,6,0.1111,0,0,0,0,0,0,0,0,0
HAMPTON 3,0,0,0,1,0,0,0,0,0,10,10,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.3333,0,0,0,5,6,0.1111,0,0,0,0,0,0,0,0,0
OAKLAND/ MORGAN,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,8,0.1667,0,0,0,5,7,0.1111,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
WEST MOTT TOWNSHIP,0,0,0,4,5,0.1111,0,0,0,4,5,0.0556,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0.0556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHLAND/ ROSS/ WEST FORK,0,0,0,5,0,0,0,0,0,9,9,0.2222,0,0,0,0,0,0,12,18,0.3889,0,0,0,7,11,0.2778,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0
HAMILTON/ LEE/ REEVE,0,0,0,2,4,0.0556,0,0,0,7,8,0.1111,0,0,0,0,0,0,3,0,0,0,0,0,7,10,0.1111,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HAMPTON 2,0,0,0,6,7,0.1111,0,0,0,12,14,0.2222,0,0,0,0,0,0,8,9,0.1111,0,0,0,7,7,0.1111,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
GRANT/ OSCEOLA,0,0,0,3,3,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0556,0,0,0,1,1,0.0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARION,0,0,0,3,3,0.0556,0,0,0,6,6,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENEVA/ INGHAM/ EAST MOTT,0,0,0,4,4,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,0.1667,3,3,0.0556,0,0,0,0,0,0
Total,0,0,0,40,38,0.7778,0,0,0,57,60,1.1111,0,0,0,0,0,0,34,37,0.7223,0,0,0,62,72,1.2779,5,0,0,26,19,0.3889,7,3,0.0556,0,0,0,0,0,0
Sidney,1,0,0,18,22,0.225,0,0,0,15,16,0.15,0,0,0,0,0,0,15,17,0.225,0,0,0,19,24,0.3,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0
Green Riverside Scott,0,0,0,9,9,0.15,0,0,0,9,11,0.225,0,0,0,0,0,0,10,11,0.225,0,0,0,9,9,0.225,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Farragut,0,0,0,6,7,0.15,0,0,0,14,16,0.225,0,0,0,0,0,0,10,11,0.15,0,0,0,3,6,0.075,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0
Riverton,0,0,0,0,0,0,0,0,0,1,1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.075,0,0,0,0,0,0,0,0,0
Total,1,0,0,33,38,0.525,0,0,0,39,44,0.675,0,0,0,0,0,0,35,39,0.6,0,0,0,31,39,0.6,0,0,0,19,1,0.075,1,0,0,0,0,0,2,0,0
North Precinct,0,0,0,11,11,0.12,1,0,0,9,11,0.24,0,0,0,0,0,0,11,11,0.12,0,0,0,8,13,0.24,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0
Jefferson 1 Precinct,0,0,0,10,10,0.12,0,0,0,21,21,0.36,0,0,0,0,0,0,12,12,0.24,0,0,0,12,12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson 3 Precinct,0,0,0,13,14,0.24,0,0,0,29,31,0.48,0,0,0,0,0,0,16,20,0.36,0,0,0,14,18,0.36,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0
East Precinct,0,0,0,7,9,0.12,0,0,0,13,16,0.36,0,0,0,0,0,0,1,0,0,0,0,0,17,17,0.36,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
West Precinct,1,0,0,0,0,0,0,0,0,5,6,0.12,0,0,0,0,0,0,5,10,0.12,0,0,0,5,6,0.12,5,5,0.12,3,0,0,3,0,0,0,0,0,2,0,0
Jefferson 2 Precinct,0,0,0,5,0,0,0,0,0,12,17,0.36,0,0,0,0,0,0,7,12,0.24,0,0,0,16,18,0.36,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0
Central Precinct,1,0,0,8,9,0.12,0,0,0,10,10,0.12,0,0,0,0,0,0,10,11,0.12,0,0,0,10,10,0.12,0,0,0,14,16,0.12,5,2,0,0,0,0,0,0,0
Total,2,0,0,54,53,0.72,1,0,0,99,112,2.04,0,0,0,0,0,0,62,76,1.2,0,0,0,82,94,1.8,10,5,0.12,34,16,0.12,15,2,0,0,0,0,3,0,0
PRECINCT 6,0,0,0,16,22,0.4,0,0,0,16,21,0.4,0,0,0,2,0,0,16,18,0.3,1,0,0,12,15,0.2,6,0,0,6,0,0,1,0,0,0,0,0,1,0,0
PRECINCT 1,0,0,0,7,12,0.2,0,0,0,11,14,0.3,0,0,0,0,0,0,7,8,0.2,0,0,0,6,8,0.2,2,0,0,5,0,0,0,0,0,0,0,0,4,0,0
PRECINCT 3,0,0,0,4,4,0.1,0,0,0,5,7,0.2,0,0,0,0,0,0,3,4,0.1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
PRECINCT 4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1,3,0,0,5,6,0.1,4,6,0.1,0,0,0,0,0,0
PRECINCT 2,0,0,0,0,0,0,0,0,0,7,8,0.1,0,0,0,0,0,0,1,0,0,0,0,0,11,14,0.1,0,0,0,5,5,0.1,3,0,0,0,0,0,0,0,0
Total,0,0,0,27,38,0.7,0,0,0,43,50,1,0,0,0,2,0,0,27,30,0.6,1,0,0,37,44,0.6,11,0,0,22,11,0.2,9,6,0.1,0,0,0,6,0,0
Purple,0,0,0,17,17,0.2571,0,0,0,10,0,0,0,0,0,0,0,0,25,25,0.4286,0,0,0,12,0,0,0,0,0,18,18,0.2571,7,29,0.4286,0,0,0,0,0,0
Red,1,0,0,2,0,0,0,0,0,6,8,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0857,0,0,0,4,5,0.0857,0,0,0,0,0,0,0,0,0
Brown,0,0,0,6,6,0.0857,0,0,0,7,7,0.1714,0,0,0,0,0,0,7,8,0.1714,0,0,0,1,0,0,0,0,0,5,5,0.0857,0,0,0,0,0,0,0,0,0
Green,0,0,0,3,0,0,0,0,0,10,15,0.4286,0,0,0,0,0,0,3,0,0,0,0,0,4,7,0.1714,2,0,0,3,4,0.0857,1,0,0,0,0,0,0,0,0
Blue,0,0,0,11,0,0,0,0,0,23,30,0.4286,0,0,0,0,0,0,34,44,0.6,0,0,0,4,0,0,6,0,0,16,20,0.3429,5,0,0,0,0,0,2,0,0
Black,0,0,0,2,0,0,0,0,0,8,9,0.1714,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0857,0,0,0,9,9,0.1714,0,0,0,0,0,0,0,1,0
Total,1,0,0,41,23,0.3428,0,0,0,64,69,1.2857,0,0,0,0,0,0,69,77,1.2,0,0,0,33,19,0.3428,8,0,0,55,61,1.0285,13,29,0.4286,0,0,0,2,1,0
Webster City 3,0,0,0,16,19,0.4,0,0,0,16,17,0.3,0,0,0,0,0,0,6,11,0.2,0,0,0,8,13,0.3,5,0,0,9,0,0,0,0,0,0,0,0,2,2,0
Webster City 1,0,0,0,20,21,0.3,0,0,0,39,40,0.6,0,0,0,0,0,0,20,20,0.3,0,0,0,18,18,0.2,1,0,0,20,21,0.3,0,0,0,0,0,0,2,0,0
PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,0,0,0,13,14,0.2,0,0,0,20,27,0.4,0,0,0,0,0,0,8,0,0,0,0,0,13,14,0.2,2,0,0,14,16,0.3,0,0,0,0,0,0,1,0,0
Webster City 2,0,0,0,20,21,0.4,0,0,0,38,39,0.7,0,0,0,0,0,0,17,19,0.3,0,0,0,18,19,0.3,4,0,0,16,19,0.3,3,0,0,1,0,0,0,0,0
PCT 5 LINCOLN ROSE GROVE SCOTT,0,0,0,1,1,0,0,0,0,8,11,0.3,0,0,0,0,0,0,2,0,0,0,0,0,5,5,0.1,0,0,0,8,8,0.2,1,0,0,0,0,0,0,0,0
PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,0,0,0,10,10,0.2,1,0,0,7,8,0.1,0,0,0,0,0,0,8,10,0.2,0,0,0,0,0,0,0,0,0,10,10,0.2,0,0,0,0,0,0,2,0,0
PCT 4 LYON ELLSWORTH,0,0,0,13,13,0.2,0,0,0,14,14,0.2,0,0,0,0,0,0,14,14,0.2,0,0,0,26,26,0.4,0,0,0,14,14,0.2,0,0,0,0,0,0,0,0,0
PCT 2 BLAIRSBURG LIBERTY WILLIAMS,0,0,0,6,8,0.2,0,0,0,5,6,0.1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,12,13,0.2,0,0,0,0,0,0,1,0,0
Total,0,0,0,99,107,1.9,1,0,0,147,162,2.7,0,0,0,0,0,0,77,74,1.2,0,0,0,91,95,1.5,12,0,0,103,101,1.7,4,0,0,1,0,0,8,2,0
Precinct 06,0,0,0,14,15,0.3,0,0,0,24,26,0.5,0,0,0,0,0,0,20,25,0.5,0,0,0,20,20,0.4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Precinct 01,0,0,0,10,11,0.1,0,0,0,11,12,0.2,0,0,0,0,0,0,17,19,0.2,0,0,0,8,10,0.1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
Precinct 10,0,0,0,0,0,0,0,0,0,4,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0
Precinct 03,0,0,0,2,3,0.1,0,0,0,4,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct 04,0,0,0,8,8,0.2,0,0,0,17,20,0.5,0,0,0,0,0,0,12,14,0.3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Precinct 09,0,0,0,2,4,0.1,0,0,0,1,0,0,0,0,0,0,0,0,8,8,0.1,0,0,0,4,4,0.1,0,0,0,4,5,0.1,2,0,0,0,0,0,0,0,0
Precinct 08,0,0,0,0,0,0,0,0,0,8,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1,2,0,0,0,0,0,0,0,0
Precinct 02,0,0,0,0,0,0,0,0,0,4,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.1,0,0,0,0,0,0,0,0,0
Precinct 07,0,0,0,2,0,0,0,0,0,4,7,0.1,0,0,0,0,0,0,4,4,0.1,0,0,0,8,8,0.1,2,0,0,4,5,0.1,1,0,0,0,0,0,0,1,0
Total,0,0,0,38,41,0.8,0,0,0,77,85,1.7,0,0,0,0,0,0,61,70,1.2,0,0,0,47,44,0.8,2,0,0,29,20,0.4,10,0,0,2,0,0,0,1,0
Concord/Sherman/Grant/Tip,0,0,0,14,18,0.288,0,0,0,16,16,0.216,0,0,0,0,0,0,12,14,0.216,0,0,0,11,12,0.216,8,0,0,11,14,0.216,4,0,0,0,0,0,0,2,0
Eldora City,0,0,0,14,14,0.216,0,0,0,19,19,0.288,0,0,0,0,0,0,14,14,0.216,0,0,0,13,13,0.216,0,0,0,17,17,0.288,0,0,0,0,0,0,0,0,0
Hardin/Eltds/Jackson,0,0,0,10,10,0.144,0,0,0,14,14,0.216,0,0,0,0,0,0,19,19,0.288,0,0,0,7,0,0,0,0,0,11,19,0.216,1,0,0,0,0,0,0,0,0
Etna/Clay,0,0,0,15,15,0.288,0,0,0,14,14,0.288,0,0,0,0,0,0,10,10,0.216,0,0,0,11,11,0.216,0,0,0,9,9,0.216,0,0,0,0,0,0,0,0,0
Eldora/Pleasant/Prov/Unio,0,0,0,4,0,0,0,0,0,15,21,0.504,0,0,0,0,0,0,8,12,0.36,0,0,0,4,4,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Alden/Buckeye,0,0,0,15,15,0.288,0,0,0,6,6,0.072,0,0,0,0,0,0,6,6,0.144,0,0,0,10,10,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,72,72,1.224,0,0,0,84,90,1.584,0,0,0,0,0,0,69,75,1.44,0,0,0,56,50,0.864,11,0,0,49,59,0.936,7,0,0,0,0,0,0,2,0
Precinct 13-Persia,0,0,0,8,8,0.0933,0,0,0,5,5,0.0933,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0933,0,0,0,5,5,0.0933,0,0,0,0,0,0,0,0,0
Precinct 10 - Logan,0,0,0,9,12,0.28,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,12,0.28,1,0,0,7,10,0.1867,2,0,0,0,0,0,0,0,0
Precinct 11 - St. John,0,0,0,8,10,0.1867,0,0,0,12,17,0.1867,0,0,0,0,0,0,9,9,0.0933,0,0,0,6,0,0,0,0,0,9,13,0.1867,7,0,0,0,0,0,0,0,0
Precinct 04-Mondamin,0,0,0,0,0,0,0,0,0,4,6,0.0933,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0.28,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
Precinct 08-Modale,0,0,0,0,0,0,0,0,0,6,6,0.28,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct 03-Dunlap,0,0,0,12,12,0.1867,0,0,0,18,21,0.28,0,0,0,0,0,0,15,15,0.1867,0,0,0,15,17,0.1867,0,0,0,5,0,0,3,0,0,0,0,0,1,0,0
Precinct 01-Little Sioux,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0.0933,0,0,0,2,3,0.0933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precinct 02-Pisgah,0,0,0,4,4,0.0933,0,0,0,5,5,0.0933,0,0,0,0,0,0,4,4,0.0933,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Precinct 06-Boyer/Lincoln,0,0,0,3,0,0,0,0,0,5,5,0.0933,0,0,0,0,0,0,5,6,0.0933,0,0,0,2,8,0.0933,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Total,0,0,0,44,46,0.84,0,0,0,61,65,1.1199,0,0,0,0,0,0,38,37,0.5599,0,0,0,57,65,1.2133,1,0,0,31,30,0.4667,13,0,0,0,0,0,5,0,0
Southwest Precinct,0,0,0,11,11,0.1333,0,0,0,11,11,0.1333,0,0,0,1,0,0,3,9,0.1333,0,0,0,9,9,0.1333,5,0,0,10,13,0.1333,3,0,0,0,0,0,0,0,0
Northwest Precinct,0,0,0,11,16,0.2,0,0,0,24,26,0.3333,0,0,0,0,0,0,5,0,0,0,0,0,13,13,0.2,0,0,0,2,0,0,13,13,0.1333,0,0,0,0,0,0
Northeast Precinct,0,0,0,3,3,0,1,0,0,19,24,0.4667,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.2,0,0,0,5,0,0,8,9,0.2,0,0,0,0,0,0
Mt. Pleasant Ward 2,0,0,0,17,17,0.2667,0,0,0,14,14,0.2667,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.2667,0,0,0,13,13,0.2,12,12,0.2,0,0,0,0,0,0
Central Precinct,0,0,0,32,35,0.4667,0,0,0,2,0,0,0,0,0,0,0,0,24,29,0.4,0,0,0,18,19,0.2667,0,0,0,17,18,0.2,12,0,0,0,0,0,1,0,0
Mt. Pleasant Ward 3,0,0,0,12,14,0.2,0,0,0,20,20,0.2667,0,0,0,0,0,0,10,13,0.2,0,0,0,20,20,0.2667,1,0,0,14,14,0.2,2,0,0,0,0,0,2,0,0
Mt. Pleasant Ward 1,1,0,0,6,0,0,0,0,0,18,21,0.3333,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,25,28,0.4667,12,17,0.2667,0,0,0,0,0,0
Total,1,0,0,92,96,1.2667,1,0,0,108,116,1.8,0,0,0,1,0,0,46,51,0.7333,0,0,0,97,90,1.3334,6,0,0,86,86,1.2,62,51,0.8,0,0,0,3,0,0
Cresco 2,0,0,0,11,15,0.2857,0,0,0,11,13,0.1429,0,0,0,0,0,0,8,0,0,0,0,0,14,18,0.2857,0,0,0,8,13,0.1429,7,0,0,0,0,0,0,0,0
Vernon Springs,0,0,0,5,6,0.1429,0,0,0,12,12,0.2857,0,0,0,0,0,0,5,5,0.1429,0,0,0,2,0,0,0,0,0,6,6,0.1429,2,0,0,0,0,0,0,0,0
Saratoga/Howard Ctr/Chest,0,0,0,4,4,0.1429,0,0,0,4,4,0.1429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.1429,0,0,0,0,0,0
Afton/Howard/Paris,0,0,0,6,6,0.2857,0,0,0,7,7,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1429,4,4,0.1429,0,0,0,2,0,0,0,0,0,0,0,0
Jamestown/Oakdale,0,0,0,1,0,0,0,0,0,5,7,0.1429,0,0,0,0,0,0,4,0,0,0,0,0,5,5,0.1429,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Albion/Forest City,0,0,0,5,6,0.1429,0,0,0,6,6,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.1429,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0
Cresco 3,0,0,0,0,0,0,0,0,0,19,20,0.2857,0,0,0,0,0,0,11,11,0.1429,0,0,0,11,12,0.1429,0,0,0,6,0,0,8,12,0.1429,0,0,0,0,0,0
New Oregon,0,0,0,1,0,0,0,0,0,4,5,0.1429,0,0,0,0,0,0,6,10,0.2857,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Total,0,0,0,33,37,1.0001,0,0,0,68,74,1.5716,0,0,0,0,0,0,35,26,0.5715,0,0,0,46,49,0.8573,4,4,0.1429,24,19,0.2858,31,22,0.2858,0,0,0,0,0,0
Humboldt 2-Beaver-South Norway,0,0,0,17,18,0.2667,2,0,0,5,0,0,0,0,0,0,0,0,14,16,0.1778,0,0,0,7,13,0.1778,1,0,0,10,11,0.1778,2,0,0,0,0,0,0,0,0
Humboldt 3-South Rutland,0,0,0,11,14,0.1778,0,0,0,19,21,0.3556,0,0,0,0,0,0,7,10,0.1778,0,0,0,6,0,0,3,0,0,9,10,0.1778,0,0,0,0,0,0,0,0,0
Dakota City-Grove,0,0,0,8,10,0.1778,0,0,0,8,9,0.1778,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0.0889,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
North Lake-East Vernon,0,0,0,1,1,0.0889,0,0,0,1,1,0.0889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt 1-Corinth-South Weaver,0,0,0,18,19,0.2667,0,0,0,21,23,0.3556,0,0,0,0,0,0,13,15,0.2667,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0
Delana-Wacousta-North Rutland,0,0,0,5,5,0.0889,0,0,0,3,0,0,0,0,0,0,0,0,9,10,0.0889,0,0,0,6,6,0.0889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,60,67,1.0668,2,0,0,57,54,0.9779,0,0,0,0,0,0,44,51,0.7112,0,0,0,24,23,0.3556,5,0,0,23,21,0.3556,2,0,0,0,0,0,4,0,0
Ida Grove Ward 3,0,0,0,7,7,0.15,0,0,0,3,5,0.15,0,0,0,0,0,0,3,3,0.15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida Grove Ward 1,0,0,0,2,4,0.15,0,0,0,8,8,0.15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
City of Holstein,0,0,0,23,26,0.45,0,0,0,13,19,0.3,0,0,0,0,0,0,12,15,0.15,0,0,0,6,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0
City of Arthur,0,0,0,2,0,0,0,0,0,4,7,0.15,0,0,0,0,0,0,4,7,0.15,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ida Grove Ward 2,0,0,0,4,5,0.15,0,0,0,5,7,0.15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Battle Creek & Grant Township,0,0,0,4,6,0,0,0,0,7,10,0.3,0,0,0,0,0,0,2,0,0,0,0,0,9,10,0.3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,42,48,0.9,0,0,0,40,56,1.2,0,0,0,0,0,0,25,25,0.45,0,0,0,20,10,0.3,4,0,0,9,0,0,1,0,0,0,0,0,1,1,0
Wiltdamsburg,0,0,0,27,30,0.5,0,0,0,30,36,0.6,0,0,0,0,0,0,12,0,0,0,0,0,34,36,0.5,2,0,0,35,43,0.7,6,0,0,0,0,0,0,1,0
Lenox/Iowa,0,0,0,25,28,0.4,0,0,0,33,40,0.5,0,0,0,0,0,0,14,0,0,0,0,0,46,49,0.6,9,0,0,35,42,0.5,0,0,0,0,0,0,0,0,0
Marengo City,0,0,0,15,15,0.3,0,0,0,14,14,0.3,0,0,0,0,0,0,7,0,0,0,0,0,30,30,0.5,2,0,0,16,16,0.3,2,0,0,0,0,0,0,0,0
Hilton/Washington,0,0,0,12,13,0.2,1,0,0,11,18,0.2,0,0,0,0,0,0,6,0,0,0,0,0,15,17,0.2,1,0,0,12,16,0.2,6,0,0,0,0,0,1,0,0
Pilot/Troy/York,0,0,0,1,0,0,0,0,0,9,9,0.2,0,0,0,0,0,0,7,8,0.1,0,0,0,7,8,0.1,1,0,0,9,10,0.2,1,0,0,0,0,0,0,0,0
Fillmore/Greene,0,0,0,3,2,0,0,0,0,12,12,0.2,0,0,0,1,0,0,8,10,0.1,0,0,0,18,20,0.3,2,0,0,12,13,0.2,1,0,0,0,0,0,0,0,0
Honey Creek/Marengo Rural,0,0,0,4,6,0.1,0,0,0,5,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,5,0.1,0,0,0,0,0,0,0,0,0
Hartford I/Sumner,0,0,0,5,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,0.1,1,0,0,3,4,0.1,1,0,0,0,0,0,0,0,0
Dayton/Engtdsh I,0,0,0,7,7,0.1,0,0,0,4,0,0,0,0,0,1,1,0,7,11,0.1,0,0,0,1,1,0,0,0,0,4,4,0.1,0,0,0,0,0,0,0,0,0
Engtdsh II,0,0,0,15,15,0.2,0,0,0,14,19,0.2,0,0,0,0,0,0,9,9,0.1,0,0,0,7,2,0,0,0,0,10,11,0.1,1,0,0,0,0,0,0,0,0
Hartford II/Lincoln,0,0,0,8,8,0.1,0,0,0,13,18,0.3,0,0,0,0,0,0,4,0,0,0,0,0,5,6,0.1,0,0,0,6,6,0.1,3,0,0,0,0,0,0,0,0
Total,0,0,0,122,131,2,1,0,0,145,171,2.6,0,0,0,2,1,0,76,38,0.4,0,0,0,168,173,2.4,20,0,0,145,170,2.6,21,0,0,0,0,0,1,1,0
Jackson 01,0,0,0,28,28,0.5143,0,0,0,37,43,0.8571,0,0,0,0,0,0,28,30,0.5143,0,0,0,12,0,0,0,0,0,19,23,0.3429,0,0,0,0,0,0,0,0,0
Jackson 12,0,0,0,3,3,0.1714,0,0,0,5,5,0.1714,0,0,0,0,0,0,4,4,0.1714,0,0,0,6,6,0.1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson 06,0,0,0,12,12,0.1714,0,0,0,16,16,0.1714,0,0,0,0,0,0,8,8,0.1714,0,0,0,5,11,0.1714,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Jackson 16,0,0,0,27,30,0.3429,0,0,0,21,25,0.3429,0,0,0,1,0,0,15,18,0.3429,0,0,0,5,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Jackson 05,0,0,0,9,9,0.1714,0,0,0,6,7,0.1714,0,0,0,0,0,0,4,4,0.1714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jackson 11,0,0,0,9,10,0.1714,0,0,0,7,7,0.1714,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jackson 08,0,0,0,7,9,0.1714,0,0,0,6,9,0.1714,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,4,7,0.1714,0,0,0,0,0,0,0,1,0,4,0,0
Jackson 13,0,0,0,7,10,0.1714,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,10,0.1714,2,0,0,8,9,0.1714,3,0,0,0,0,0,0,0,0
Jackson 07,0,0,0,13,13,0.1714,0,0,0,23,26,0.3429,0,0,0,0,0,0,17,18,0.3429,0,0,0,11,0,0,1,1,0,12,18,0.1714,0,0,0,0,0,0,0,1,0
Jackson 14,0,0,0,8,9,0.1714,0,0,0,11,12,0.1714,0,0,0,0,0,0,2,0,0,0,0,0,16,16,0.1714,0,0,0,10,10,0.1714,0,0,0,0,0,0,0,0,0
Jackson 02,0,0,0,11,11,0.1714,1,0,0,11,16,0.1714,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,7,10,0.1714,0,0,0,0,0,0,4,5,0
Jackson 15,0,0,0,10,11,0.1714,0,0,0,14,19,0.3429,0,0,0,0,0,0,8,8,0.1714,0,0,0,7,0,0,0,0,0,13,15,0.1714,1,0,0,0,0,0,0,0,0
Jackson 09,0,0,0,12,14,0.1714,0,0,0,16,20,0.3429,0,0,0,0,0,0,6,0,0,0,0,0,13,13,0.1714,0,0,0,9,9,0.1714,0,0,0,0,0,0,0,0,0
Total,0,0,0,156,169,2.7426,1,0,0,181,205,3.4285,0,0,0,2,0,0,98,90,1.8857,0,0,0,92,56,0.857,9,8,0.1714,87,94,1.3713,6,0,0,0,1,0,9,6,0
Newton 2-2,0,0,0,19,19,0.23,0,0,0,40,43,0.46,0,0,0,0,0,0,8,0,0,0,0,0,27,29,0.23,2,0,0,27,31,0.345,2,0,0,0,0,0,0,0,0
Newton 1-2,0,0,0,10,11,0.23,0,0,0,14,18,0.345,0,0,0,0,0,0,4,0,0,0,0,0,16,16,0.345,5,0,0,8,10,0.23,0,0,0,0,0,0,0,1,0
Palo Alto,0,0,0,7,8,0.115,0,0,0,14,16,0.23,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,8,0.115,9,10,0.115,0,0,0,0,0,0
HG/K/RC/BV/RL,0,0,0,25,25,0.345,0,0,0,33,38,0.575,0,0,0,0,0,0,22,24,0.345,0,0,0,24,26,0.345,5,0,0,22,23,0.345,5,0,0,0,0,0,0,0,0
